Location_ID,Latitude,Longitude,Depot_Flag,Demand_unit,Product_Type,Temp_Min,Temp_Max,Ripeness_Date,Expiration_Date,Packaging_Type,Contamination_Group,Handling_Notes,Urgency_Score,Time_Window_Start,Time_Window_End
L034,41.700862,-93.771654,FALSE,1,Leafy,1,7,06/05/2025,06/12/2025,Pallet,B,Keep Upright,0.33,08:00,12:00
L035,49.672756,-89.447102,FALSE,10,Herbs,5,10,06/08/2025,06/13/2025,Pallet,C,None,0.53,17:00,20:00
L036,41.478373,-88.964066,FALSE,2,Fruit,4,8,06/07/2025,06/09/2025,Pallet,B,None,0.74,12:00,17:00
L037,42.701107,-94.011952,FALSE,11,Dairy,0,4,06/06/2025,06/09/2025,Box,C,Fragile,0.91,08:00,12:00
L038,42.586943,-90.209804,TRUE,15,Herbs,5,10,06/08/2025,06/12/2025,Crate,C,Keep Upright,0.91,08:00,12:00
L039,45.851586,-88.10308,FALSE,19,Leafy,1,7,06/08/2025,06/13/2025,Crate,A,Keep Upright,0.54,12:00,17:00
L040,42.50099,-88.017843,FALSE,18,Fruit,4,8,06/05/2025,06/10/2025,Pallet,A,Fragile,0.3,08:00,12:00
L041,47.231522,-90.329067,FALSE,13,Herbs,5,10,06/07/2025,06/12/2025,Crate,A,Keep Upright,0.27,12:00,17:00
L042,44.090281,-85.234242,FALSE,14,Herbs,5,10,06/07/2025,06/09/2025,Pallet,B,None,0.92,17:00,20:00
L043,46.374096,-85.936914,FALSE,17,Meat,-2,0,06/05/2025,06/10/2025,Box,A,Keep Upright,0.18,08:00,12:00
L044,39.689836,-91.392903,TRUE,14,Meat,-2,0,06/08/2025,06/12/2025,Crate,C,Fragile,0.35,08:00,12:00
L045,45.008229,-93.101469,TRUE,16,Dairy,0,4,06/07/2025,06/09/2025,Pallet,A,Fragile,0.08,17:00,20:00
L046,49.053555,-89.277244,TRUE,16,Fruit,4,8,06/06/2025,06/11/2025,Pallet,A,None,0.22,12:00,17:00
L047,41.872188,-92.693876,FALSE,10,Herbs,5,10,06/07/2025,06/14/2025,Box,B,None,0.4,08:00,12:00
L048,40.00022,-91.566176,FALSE,22,Meat,-2,0,06/06/2025,06/08/2025,Box,A,Fragile,0.13,12:00,17:00
L049,46.592028,-87.041402,FALSE,21,Leafy,1,7,06/05/2025,06/07/2025,Box,A,Fragile,0.47,12:00,17:00
L050,46.701145,-86.57318,FALSE,11,Dairy,0,4,06/06/2025,06/12/2025,Pallet,B,None,0.28,08:00,12:00
L051,41.768411,-92.442416,FALSE,20,Dairy,0,4,06/05/2025,06/12/2025,Pallet,C,Fragile,0.63,12:00,17:00
L052,47.577555,-88.145773,FALSE,7,Fruit,4,8,06/07/2025,06/12/2025,Crate,C,Keep Upright,0.99,08:00,12:00
L053,45.076942,-87.689674,FALSE,25,Leafy,1,7,06/08/2025,06/11/2025,Pallet,A,None,0.64,12:00,17:00
L054,42.33504,-93.110044,FALSE,1,Leafy,1,7,06/06/2025,06/11/2025,Pallet,A,Fragile,0.62,17:00,20:00
L055,44.288441,-83.39554,TRUE,13,Leafy,1,7,06/07/2025,06/11/2025,Pallet,A,Fragile,0.46,12:00,17:00
L056,49.462815,-91.965051,FALSE,13,Leafy,1,7,06/08/2025,06/14/2025,Pallet,A,None,0.91,17:00,20:00
L057,45.978724,-91.63621,FALSE,2,Herbs,5,10,06/08/2025,06/14/2025,Box,A,None,0.26,08:00,12:00
L058,39.566914,-92.396362,FALSE,12,Meat,-2,0,06/08/2025,06/12/2025,Box,B,Fragile,0.69,17:00,20:00
L059,45.035036,-95.151222,FALSE,4,Dairy,0,4,06/08/2025,06/12/2025,Crate,C,None,0.72,12:00,17:00
L060,40.258793,-94.437268,FALSE,10,Meat,-2,0,06/08/2025,06/11/2025,Pallet,C,None,0.43,17:00,20:00
L061,45.807576,-90.623103,FALSE,22,Fruit,4,8,06/07/2025,06/10/2025,Crate,A,Keep Upright,0.59,17:00,20:00
L062,48.593072,-88.405003,FALSE,1,Meat,-2,0,06/08/2025,06/13/2025,Crate,A,None,0.94,17:00,20:00
L063,40.399963,-90.013357,FALSE,6,Leafy,1,7,06/08/2025,06/13/2025,Box,B,Fragile,0.14,17:00,20:00
L064,41.234596,-85.883227,FALSE,4,Herbs,5,10,06/07/2025,06/14/2025,Pallet,C,None,0.95,17:00,20:00
L065,42.350451,-91.309299,FALSE,15,Dairy,0,4,06/06/2025,06/09/2025,Crate,B,Fragile,0.42,12:00,17:00
L066,43.667617,-93.163425,FALSE,21,Herbs,5,10,06/08/2025,06/15/2025,Crate,A,Keep Upright,0.97,17:00,20:00
L067,39.393746,-88.942627,FALSE,23,Herbs,5,10,06/07/2025,06/09/2025,Pallet,C,None,0.36,17:00,20:00
L068,44.695542,-86.663802,TRUE,9,Dairy,0,4,06/08/2025,06/12/2025,Box,B,Keep Upright,0.87,17:00,20:00
L069,47.391491,-88.568287,FALSE,7,Herbs,5,10,06/05/2025,06/11/2025,Pallet,B,Keep Upright,0.01,08:00,12:00
L070,41.514844,-93.604111,TRUE,5,Leafy,1,7,06/07/2025,06/10/2025,Pallet,C,Fragile,0.1,17:00,20:00
L071,41.261431,-93.907894,FALSE,15,Herbs,5,10,06/05/2025,06/09/2025,Crate,A,None,0.37,08:00,12:00
L072,45.548323,-90.388273,FALSE,11,Meat,-2,0,06/05/2025,06/08/2025,Pallet,A,Keep Upright,0.14,08:00,12:00
L073,42.268543,-92.938756,FALSE,7,Fruit,4,8,06/07/2025,06/12/2025,Crate,A,Keep Upright,0.13,12:00,17:00
L074,45.746944,-81.578616,FALSE,15,Herbs,5,10,06/07/2025,06/09/2025,Box,A,None,0.64,12:00,17:00
L075,42.037047,-90.731796,FALSE,23,Leafy,1,7,06/08/2025,06/15/2025,Box,A,None,0.65,08:00,12:00
L076,44.60839,-95.836574,FALSE,25,Fruit,4,8,06/07/2025,06/10/2025,Crate,B,None,0.86,12:00,17:00
L077,47.539856,-89.732917,TRUE,18,Fruit,4,8,06/07/2025,06/12/2025,Pallet,A,Fragile,0.94,17:00,20:00
L078,44.271359,-87.573623,FALSE,25,Herbs,5,10,06/08/2025,06/10/2025,Pallet,C,Fragile,0.78,17:00,20:00
L079,45.897025,-81.332275,FALSE,13,Meat,-2,0,06/08/2025,06/15/2025,Pallet,C,Keep Upright,0.8,12:00,17:00
L080,42.743526,-87.356791,FALSE,18,Leafy,1,7,06/05/2025,06/11/2025,Box,A,Keep Upright,0.99,12:00,17:00
L081,44.84541,-85.561196,FALSE,18,Dairy,0,4,06/07/2025,06/11/2025,Box,B,None,0.01,08:00,12:00
L082,47.452019,-86.457096,FALSE,18,Dairy,0,4,06/08/2025,06/13/2025,Crate,B,Fragile,0.02,08:00,12:00
L083,48.627848,-85.090204,FALSE,8,Leafy,1,7,06/07/2025,06/14/2025,Crate,A,Keep Upright,0.66,08:00,12:00
L084,40.416286,-93.721879,FALSE,12,Leafy,1,7,06/07/2025,06/11/2025,Crate,A,Keep Upright,0.32,17:00,20:00
L085,40.967094,-85.30005,TRUE,3,Herbs,5,10,06/08/2025,06/10/2025,Pallet,B,Keep Upright,0.68,08:00,12:00
L086,40.733698,-85.226957,FALSE,12,Leafy,1,7,06/08/2025,06/15/2025,Pallet,A,Keep Upright,0.08,08:00,12:00
L087,44.982253,-94.86831,FALSE,7,Meat,-2,0,06/08/2025,06/11/2025,Pallet,C,Fragile,0.18,12:00,17:00
L088,44.560323,-96.594543,TRUE,7,Herbs,5,10,06/05/2025,06/11/2025,Box,B,Fragile,0.75,12:00,17:00
L089,40.715286,-94.551518,FALSE,17,Dairy,0,4,06/08/2025,06/12/2025,Pallet,C,None,0.42,12:00,17:00
L090,42.971108,-88.378101,FALSE,2,Leafy,1,7,06/05/2025,06/07/2025,Pallet,A,Fragile,0.07,12:00,17:00
L091,41.128116,-86.76531,FALSE,19,Fruit,4,8,06/08/2025,06/14/2025,Box,A,None,0.07,08:00,12:00
L092,39.483923,-92.924143,FALSE,17,Meat,-2,0,06/06/2025,06/10/2025,Pallet,B,Keep Upright,0.05,08:00,12:00
L093,44.377467,-81.825581,FALSE,16,Leafy,1,7,06/06/2025,06/12/2025,Crate,B,Keep Upright,0.22,12:00,17:00
L094,39.920407,-90.408577,FALSE,5,Herbs,5,10,06/08/2025,06/12/2025,Pallet,C,Keep Upright,0.17,08:00,12:00
L095,40.799543,-93.51052,FALSE,9,Meat,-2,0,06/06/2025,06/10/2025,Pallet,C,Fragile,0.91,08:00,12:00
L096,46.002082,-95.975353,FALSE,13,Dairy,0,4,06/08/2025,06/11/2025,Crate,C,None,0.16,12:00,17:00
L097,42.747939,-87.555017,FALSE,3,Dairy,0,4,06/06/2025,06/12/2025,Box,C,None,0.62,08:00,12:00
L098,49.649871,-89.609436,FALSE,23,Dairy,0,4,06/06/2025,06/10/2025,Crate,C,None,0.21,17:00,20:00
L099,44.688165,-92.429225,FALSE,19,Meat,-2,0,06/08/2025,06/11/2025,Box,B,Keep Upright,0.77,08:00,12:00
L100,48.219011,-90.751324,TRUE,8,Meat,-2,0,06/08/2025,06/13/2025,Pallet,C,Fragile,0.65,08:00,12:00
L101,41.011538,-82.797587,TRUE,6,Leafy,1,7,06/06/2025,06/09/2025,Box,B,Keep Upright,0.38,08:00,12:00
L102,47.337293,-84.611936,FALSE,15,Herbs,5,10,06/05/2025,06/10/2025,Crate,C,Keep Upright,0.82,08:00,12:00
L103,46.725439,-89.522326,FALSE,16,Fruit,4,8,06/08/2025,06/14/2025,Crate,A,Fragile,0.18,17:00,20:00
L104,40.281394,-90.07117,FALSE,18,Leafy,1,7,06/05/2025,06/09/2025,Crate,A,Keep Upright,0.85,17:00,20:00
L105,44.467269,-88.970064,FALSE,7,Leafy,1,7,06/06/2025,06/10/2025,Crate,A,None,0.3,12:00,17:00
L106,42.349351,-87.819168,FALSE,16,Dairy,0,4,06/05/2025,06/11/2025,Crate,A,Keep Upright,0.3,12:00,17:00
L107,41.873972,-85.771298,FALSE,9,Dairy,0,4,06/07/2025,06/13/2025,Box,C,Fragile,0.86,08:00,12:00
L108,42.713599,-91.051706,FALSE,14,Leafy,1,7,06/08/2025,06/15/2025,Pallet,B,Fragile,0.43,12:00,17:00
L109,41.072472,-85.699449,FALSE,5,Herbs,5,10,06/05/2025,06/11/2025,Crate,C,Keep Upright,0.39,08:00,12:00
L110,43.301428,-83.158457,FALSE,19,Herbs,5,10,06/06/2025,06/10/2025,Crate,C,Keep Upright,0.15,17:00,20:00
L111,42.571791,-96.386578,FALSE,17,Leafy,1,7,06/06/2025,06/09/2025,Pallet,A,Fragile,0.03,08:00,12:00
L112,43.03593,-84.833429,FALSE,20,Herbs,5,10,06/07/2025,06/14/2025,Box,B,Keep Upright,0.41,17:00,20:00
L113,40.775046,-89.118456,FALSE,23,Leafy,1,7,06/07/2025,06/11/2025,Pallet,A,None,0.24,12:00,17:00
L114,43.32021,-94.895234,FALSE,5,Leafy,1,7,06/07/2025,06/12/2025,Pallet,C,None,0.26,17:00,20:00
L115,45.620845,-88.76331,FALSE,14,Herbs,5,10,06/08/2025,06/10/2025,Crate,A,Fragile,0.48,17:00,20:00
L116,43.926833,-86.935949,FALSE,2,Meat,-2,0,06/07/2025,06/14/2025,Crate,B,None,0.22,12:00,17:00
L117,39.75152,-93.489935,FALSE,2,Fruit,4,8,06/07/2025,06/14/2025,Crate,B,Keep Upright,0.64,08:00,12:00
L118,46.594071,-87.99468,FALSE,25,Fruit,4,8,06/08/2025,06/14/2025,Crate,A,None,0.69,12:00,17:00
L119,41.064996,-85.002293,FALSE,13,Herbs,5,10,06/05/2025,06/10/2025,Crate,C,Keep Upright,0.89,08:00,12:00
L120,39.780267,-93.471198,FALSE,15,Meat,-2,0,06/07/2025,06/12/2025,Crate,A,Fragile,0.91,17:00,20:00
L121,47.848158,-89.631629,FALSE,6,Meat,-2,0,06/05/2025,06/09/2025,Crate,B,Keep Upright,0.14,12:00,17:00
L122,48.84253,-85.282967,FALSE,6,Herbs,5,10,06/06/2025,06/13/2025,Crate,B,None,0.95,17:00,20:00
L123,45.893453,-89.558139,FALSE,13,Dairy,0,4,06/05/2025,06/11/2025,Crate,A,None,0.39,17:00,20:00
L124,39.510846,-92.47469,FALSE,10,Meat,-2,0,06/08/2025,06/13/2025,Crate,A,None,0.98,17:00,20:00
L125,42.185625,-92.89291,FALSE,5,Herbs,5,10,06/08/2025,06/13/2025,Box,A,Fragile,0.96,17:00,20:00
L126,48.081795,-93.93187,FALSE,13,Meat,-2,0,06/08/2025,06/10/2025,Crate,B,None,0.66,17:00,20:00
L127,42.33767,-86.492464,FALSE,17,Meat,-2,0,06/06/2025,06/08/2025,Pallet,C,None,0.48,08:00,12:00
L128,46.712291,-94.735406,FALSE,13,Dairy,0,4,06/08/2025,06/14/2025,Crate,C,Fragile,0.08,08:00,12:00
L129,39.467832,-93.303817,TRUE,16,Dairy,0,4,06/08/2025,06/12/2025,Box,C,Fragile,0.28,17:00,20:00
L130,43.437451,-83.970943,FALSE,13,Herbs,5,10,06/06/2025,06/10/2025,Pallet,C,None,0.96,17:00,20:00
L131,43.283701,-96.910024,FALSE,21,Leafy,1,7,06/06/2025,06/10/2025,Box,C,Keep Upright,0.27,12:00,17:00
L132,44.713316,-96.729178,FALSE,16,Fruit,4,8,06/06/2025,06/08/2025,Pallet,C,Keep Upright,0.48,08:00,12:00
L133,46.651482,-92.139319,FALSE,24,Fruit,4,8,06/08/2025,06/12/2025,Box,C,Fragile,1.0,12:00,17:00
L134,47.356503,-87.449586,FALSE,21,Meat,-2,0,06/08/2025,06/12/2025,Pallet,A,Fragile,0.04,17:00,20:00
L135,47.871586,-93.323408,FALSE,17,Meat,-2,0,06/06/2025,06/13/2025,Box,C,None,0.41,12:00,17:00
L136,44.74397,-85.215951,FALSE,12,Herbs,5,10,06/08/2025,06/10/2025,Box,B,Keep Upright,0.75,08:00,12:00
L137,41.910747,-88.757243,FALSE,19,Herbs,5,10,06/05/2025,06/11/2025,Crate,C,None,0.62,08:00,12:00
L138,44.922585,-89.749133,FALSE,1,Dairy,0,4,06/06/2025,06/11/2025,Crate,A,Fragile,0.46,08:00,12:00
L139,44.861735,-83.043846,FALSE,14,Dairy,0,4,06/08/2025,06/13/2025,Box,C,Fragile,0.02,17:00,20:00
L140,39.691598,-90.413521,TRUE,2,Meat,-2,0,06/08/2025,06/10/2025,Pallet,C,Keep Upright,0.42,12:00,17:00
L141,39.408487,-88.410844,FALSE,14,Leafy,1,7,06/06/2025,06/10/2025,Box,B,Fragile,0.77,12:00,17:00
L142,42.688754,-91.553888,FALSE,23,Dairy,0,4,06/07/2025,06/09/2025,Box,A,Keep Upright,0.46,17:00,20:00
L143,45.01317,-82.493563,TRUE,14,Dairy,0,4,06/07/2025,06/11/2025,Pallet,B,Keep Upright,0.76,17:00,20:00
L144,47.581344,-87.765919,FALSE,16,Herbs,5,10,06/05/2025,06/08/2025,Crate,A,None,0.25,12:00,17:00
L145,42.417001,-88.0893,FALSE,12,Dairy,0,4,06/07/2025,06/14/2025,Pallet,B,None,0.18,17:00,20:00
L146,46.839863,-88.593436,FALSE,24,Leafy,1,7,06/05/2025,06/07/2025,Pallet,A,Fragile,0.54,17:00,20:00
L147,49.415001,-92.843611,TRUE,24,Fruit,4,8,06/08/2025,06/15/2025,Pallet,C,None,0.12,08:00,12:00
L148,45.114202,-94.024377,FALSE,8,Herbs,5,10,06/08/2025,06/15/2025,Pallet,B,None,0.04,12:00,17:00
L149,45.514331,-91.509888,FALSE,23,Leafy,1,7,06/08/2025,06/14/2025,Pallet,B,Fragile,0.57,17:00,20:00
L150,39.743441,-91.564267,FALSE,1,Dairy,0,4,06/07/2025,06/10/2025,Box,B,Keep Upright,0.28,12:00,17:00
L151,42.464456,-94.586047,FALSE,22,Fruit,4,8,06/08/2025,06/12/2025,Pallet,C,Keep Upright,0.5,08:00,12:00
L152,39.178771,-90.593993,FALSE,14,Dairy,0,4,06/08/2025,06/13/2025,Crate,A,None,0.33,12:00,17:00
L153,43.98377,-81.789843,FALSE,10,Dairy,0,4,06/06/2025,06/09/2025,Crate,C,Fragile,0.97,08:00,12:00
L154,39.436274,-88.211723,TRUE,4,Dairy,0,4,06/05/2025,06/12/2025,Pallet,A,None,0.76,08:00,12:00
L155,46.920769,-86.97584,FALSE,1,Meat,-2,0,06/06/2025,06/13/2025,Box,A,Fragile,0.84,08:00,12:00
L156,47.808692,-88.061961,FALSE,1,Dairy,0,4,06/07/2025,06/10/2025,Crate,B,Fragile,0.7,08:00,12:00
L157,46.0025,-91.268618,FALSE,12,Meat,-2,0,06/08/2025,06/15/2025,Crate,C,Keep Upright,0.09,12:00,17:00
L158,48.207967,-89.318413,FALSE,11,Leafy,1,7,06/05/2025,06/12/2025,Crate,B,Fragile,0.07,12:00,17:00
L159,42.454556,-84.414132,FALSE,23,Herbs,5,10,06/05/2025,06/10/2025,Box,C,None,0.62,17:00,20:00
L160,41.823808,-93.698055,FALSE,17,Dairy,0,4,06/07/2025,06/12/2025,Pallet,C,Fragile,0.22,17:00,20:00
L161,46.047723,-89.382263,FALSE,14,Meat,-2,0,06/08/2025,06/12/2025,Pallet,B,Fragile,0.06,08:00,12:00
L162,42.191552,-87.717833,FALSE,24,Leafy,1,7,06/08/2025,06/15/2025,Pallet,C,Keep Upright,0.72,17:00,20:00
L163,41.559812,-88.182453,FALSE,12,Leafy,1,7,06/05/2025,06/07/2025,Crate,A,Fragile,0.32,08:00,12:00
L164,44.052201,-87.601878,FALSE,9,Fruit,4,8,06/08/2025,06/10/2025,Pallet,B,Keep Upright,0.45,08:00,12:00
L165,44.450599,-81.234509,FALSE,16,Herbs,5,10,06/05/2025,06/12/2025,Crate,B,None,0.07,08:00,12:00
L166,45.604028,-87.667123,FALSE,10,Meat,-2,0,06/07/2025,06/12/2025,Pallet,A,Fragile,0.74,08:00,12:00
L167,43.549761,-87.933655,FALSE,4,Meat,-2,0,06/06/2025,06/11/2025,Box,A,None,0.2,12:00,17:00
L168,42.415282,-86.628466,FALSE,12,Fruit,4,8,06/07/2025,06/09/2025,Pallet,B,Fragile,0.42,17:00,20:00
L169,47.240052,-92.719783,FALSE,18,Meat,-2,0,06/07/2025,06/10/2025,Box,C,None,0.52,12:00,17:00
L170,48.533538,-85.220943,FALSE,20,Leafy,1,7,06/07/2025,06/09/2025,Crate,B,None,0.31,08:00,12:00
L171,43.197288,-85.804469,FALSE,24,Meat,-2,0,06/05/2025,06/12/2025,Crate,A,None,0.0,12:00,17:00
L172,42.424007,-89.948817,FALSE,13,Fruit,4,8,06/08/2025,06/12/2025,Pallet,B,Keep Upright,0.07,08:00,12:00
L173,41.207428,-88.752246,FALSE,17,Fruit,4,8,06/07/2025,06/14/2025,Crate,C,None,0.58,08:00,12:00
L174,42.77802,-83.155157,FALSE,7,Meat,-2,0,06/06/2025,06/12/2025,Crate,B,Keep Upright,0.0,17:00,20:00
L175,40.073377,-84.691213,FALSE,25,Fruit,4,8,06/08/2025,06/15/2025,Crate,A,None,0.82,17:00,20:00
L176,47.451575,-95.119987,TRUE,1,Leafy,1,7,06/07/2025,06/13/2025,Pallet,C,Fragile,0.88,12:00,17:00
L177,40.932508,-90.214837,FALSE,5,Leafy,1,7,06/06/2025,06/13/2025,Box,B,Keep Upright,0.75,08:00,12:00
L178,43.31262,-90.809041,FALSE,2,Fruit,4,8,06/06/2025,06/09/2025,Pallet,C,Fragile,0.01,12:00,17:00
L179,42.149118,-91.757691,FALSE,9,Fruit,4,8,06/07/2025,06/09/2025,Crate,C,Fragile,0.32,17:00,20:00
L180,43.271151,-85.555812,FALSE,6,Fruit,4,8,06/05/2025,06/12/2025,Pallet,A,None,0.39,08:00,12:00
L181,43.914337,-95.283029,FALSE,9,Herbs,5,10,06/08/2025,06/11/2025,Box,B,Fragile,0.64,12:00,17:00
L182,47.249586,-82.959138,FALSE,7,Meat,-2,0,06/08/2025,06/15/2025,Crate,A,Keep Upright,0.45,12:00,17:00
L183,40.842005,-91.971113,FALSE,25,Dairy,0,4,06/07/2025,06/14/2025,Crate,B,Keep Upright,0.39,17:00,20:00
L184,46.722071,-86.381629,TRUE,10,Dairy,0,4,06/08/2025,06/12/2025,Crate,B,Keep Upright,0.81,17:00,20:00
L185,43.859233,-82.407792,FALSE,21,Dairy,0,4,06/08/2025,06/10/2025,Crate,C,Fragile,0.68,12:00,17:00
L186,40.059091,-86.279001,FALSE,12,Dairy,0,4,06/06/2025,06/10/2025,Pallet,A,Keep Upright,0.82,12:00,17:00
L187,42.235976,-85.408541,FALSE,4,Fruit,4,8,06/05/2025,06/09/2025,Pallet,C,Keep Upright,0.88,12:00,17:00
L188,46.261139,-96.369966,TRUE,20,Dairy,0,4,06/06/2025,06/10/2025,Box,C,Keep Upright,0.21,12:00,17:00
L189,39.474863,-87.393728,FALSE,11,Herbs,5,10,06/06/2025,06/13/2025,Pallet,A,Fragile,0.19,08:00,12:00
L190,39.749721,-86.755483,FALSE,18,Herbs,5,10,06/06/2025,06/08/2025,Pallet,C,None,0.6,08:00,12:00
L191,49.203058,-89.198303,FALSE,21,Fruit,4,8,06/07/2025,06/12/2025,Box,C,Keep Upright,0.7,12:00,17:00
L192,48.856024,-88.321078,FALSE,23,Dairy,0,4,06/06/2025,06/10/2025,Crate,C,Keep Upright,0.68,08:00,12:00
L193,41.696674,-94.70646,FALSE,4,Herbs,5,10,06/06/2025,06/10/2025,Box,A,Keep Upright,0.94,08:00,12:00
L194,38.696723,-88.827678,FALSE,24,Dairy,0,4,06/05/2025,06/08/2025,Box,A,Fragile,0.8,17:00,20:00
L195,44.180436,-92.90029,FALSE,8,Dairy,0,4,06/06/2025,06/09/2025,Crate,A,Keep Upright,0.58,12:00,17:00
L196,46.909371,-89.353814,FALSE,6,Meat,-2,0,06/08/2025,06/11/2025,Box,A,Fragile,0.32,17:00,20:00
L197,45.558312,-89.666312,FALSE,9,Dairy,0,4,06/05/2025,06/12/2025,Pallet,A,Keep Upright,0.08,08:00,12:00
L198,43.269125,-94.639024,FALSE,2,Dairy,0,4,06/06/2025,06/13/2025,Box,C,Fragile,0.73,17:00,20:00
L199,44.738572,-88.130637,FALSE,6,Dairy,0,4,06/07/2025,06/13/2025,Crate,C,Keep Upright,0.62,12:00,17:00
L200,39.941536,-86.182736,FALSE,1,Herbs,5,10,06/05/2025,06/12/2025,Box,A,None,0.74,12:00,17:00
L201,44.525139,-95.751482,FALSE,15,Fruit,4,8,06/05/2025,06/12/2025,Pallet,B,Keep Upright,0.64,17:00,20:00
L202,45.305935,-91.08174,TRUE,18,Dairy,0,4,06/08/2025,06/15/2025,Crate,A,Fragile,0.03,12:00,17:00
L203,43.578274,-87.982473,FALSE,25,Herbs,5,10,06/05/2025,06/07/2025,Pallet,B,Fragile,0.48,12:00,17:00
L204,42.672685,-95.361596,FALSE,12,Herbs,5,10,06/05/2025,06/09/2025,Box,C,None,0.18,12:00,17:00
L205,47.022198,-91.070303,FALSE,2,Fruit,4,8,06/08/2025,06/14/2025,Pallet,C,None,0.19,08:00,12:00
